"REF_DATE","GEO","DGUID","Assets and debts","Net worth quintiles","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Middle net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757584","1.4.4.2","11.4","","","","1"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Middle net worth quintile","Number of family units","Number","223","thousands","3","v80757585","1.4.4.3","1283","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Middle net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757586","1.4.4.4","52.5","","","","1"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Middle net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751266","1.4.4.5","33400","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Middle net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751267","1.4.4.6","45500","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Fourth net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751268","1.4.5.1","170300","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Fourth net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757587","1.4.5.2","18.3","","","","1"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Fourth net worth quintile","Number of family units","Number","223","thousands","3","v80757588","1.4.5.3","1548","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Fourth net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757589","1.4.5.4","63.4","","","","1"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Fourth net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751269","1.4.5.5","89800","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Fourth net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751270","1.4.5.6","110000","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Highest net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751271","1.4.6.1","530274","","","","0"
